PubmedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
16988102,"Gene therapy for cancer treatment: past, present and future.",,"['Deanna Cross', 'James K Burmester']","['Center for Human Genetics, Marshfield Clinic Research Foundation, 1000 North Oak Avenue, Marshfield, WI 54449, USA. cross.deanna@mcrf.mfldclin.edu']",
34218784,"Nanotechnology, A Tool for Diagnostics and Treatment of Cancer.",,"['Abdul Nasir', 'Amir Khan', 'Jiayi Li', 'Muhammad Naeem', 'Atif Ali Khan Khalil', 'Khalid Khan', 'Muhammad Qasim']","['Department of Molecular Science and Technology, Ajou University, Suwon, 16499, Korea.', 'Department of Health Sciences and Technology, Gachon Advanced Institute for Health Sciences and Technology, Gachon University, Incheon, 21565, Korea.', 'State Key Laboratory of Microbial Metabolism, Joint International Research Laboratory of Metabolic & Developmental Sciences, School of Life Sciences & Biotechnology, Shanghai Jiao Tong University, Shanghai, 200240, China.', 'Department of Chemical and Biological Engineering, Zhejiang University, Hangzhou 310017, China.', 'Department of Biological Sciences, National University of Medical Sciences, Rawalpindi 46000, Pakistan.', 'Directorate of Science and Technology, Khyber Pakhtunkhwa, Pakistan.', 'Department of Anatomy, Division of Health Sciences, University of Otago, P.O. Box 56, Dunedin 9054, New Zealand.']",
28765323,Tumor-Treating Fields: A Fourth Modality in Cancer Treatment.,2018-Jan-15,"['Elijah J Mun', 'Hani M Babiker', 'Uri Weinberg', 'Eilon D Kirson', 'Daniel D Von Hoff']","['University of Washington, Department of Internal Medicine, Seattle, Washington. ejmun@uw.edu.', 'Translational Genomics Research Institute (TGen), University of Arizona Cancer Center, Tucson, Arizona.', 'Novocure Ltd., Topaz Building, MATAM Center, Haifa, Israel.', 'Novocure Ltd., Topaz Building, MATAM Center, Haifa, Israel.', 'Virginia G. Piper Cancer Center Clinical Trials, HonorHealth Research Institute, Scottsdale, Arizona.']",
25813885,"Advanced targeted therapies in cancer: Drug nanocarriers, the future of chemotherapy.",,"['Edgar Pérez-Herrero', 'Alberto Fernández-Medarde']","['Department of Chemical Engineering, University of Salamanca (USAL), P/Los Caídos S/N, 37008 Salamanca, Spain. Electronic address: edgarpherrero@usal.es.', 'Instituto de Biología Molecular y Celular del Cáncer, Centro de Investigación del Cáncer (USAL-CSIC), Campus Universitario Miguel de Unamuno S/N, 37007 Salamanca, Spain.']",
32061310,TP53 Mutations and Outcomes in Breast Cancer: Reading beyond the Headlines.,,"['Ashkan Shahbandi', 'Hoang D Nguyen', 'James G Jackson']","['Tulane School of Medicine, Department of Biochemistry and Molecular Biology, 1430 Tulane Avenue #8543, New Orleans, LA 70112, USA.', 'Tulane School of Medicine, Department of Biochemistry and Molecular Biology, 1430 Tulane Avenue #8543, New Orleans, LA 70112, USA.', 'Tulane School of Medicine, Department of Biochemistry and Molecular Biology, 1430 Tulane Avenue #8543, New Orleans, LA 70112, USA. Electronic address: jjacks8@tulane.edu.']",
39125710,"Personalized Assessment for Cancer Prevention, Detection, and Treatment.",2024-Jul-26,['Laura Paleari'],"['Research, Innovation and HTA Unit, Liguria Health Authority, A.Li.Sa., 16121 Genova, Italy.']",
21842788,Treatment options for localized prostate cancer.,2011-Aug-15,"['Ravinder Mohan', 'Paul F Schellhammer']","['Eastern Virginia Medical School, Norfolk, VA 23507, USA. docmohaan@gmail.com']",
22529684,Adjuvant and neoadjuvant treatment in pancreatic cancer.,2012-Apr-14,"['Marta Herreros-Villanueva', 'Elizabeth Hijona', 'Angel Cosme', 'Luis Bujanda']","['Center for Novel Therapeutics, Division of Oncology Research, Department of Medicine, Mayo Clinic, Rochester, MN 55905, United States.']",
24673900,Theranostic nanomedicine for cancer detection and treatment.,,"['Zhen Fan', 'Peter P Fu', 'Hongtao Yu', 'Paresh C Ray']","['Department of Chemistry and Biochemistry, Jackson State University, 1400 J.R. Lynch St, Jackson, MS, USA.', 'Division of Biochemical Toxicology, National Center for Toxicological Research, Food and Drug Administration, 3900 NCTR Road, Jefferson, AR, USA.', 'Department of Chemistry and Biochemistry, Jackson State University, 1400 J.R. Lynch St, Jackson, MS, USA.', 'Department of Chemistry and Biochemistry, Jackson State University, 1400 J.R. Lynch St, Jackson, MS, USA. Electronic address: paresh.c.ray@jsums.edu.']",
38458738,Advances in liposome-based delivery of RNA therapeutics for cancer treatment.,,"['Mehdi Sanati', 'Amir R Afshari', 'Seyed Sajad Ahmadi', 'Prashant Kesharwani', 'Amirhossein Sahebkar']","['Department of Pharmacology and Toxicology, Faculty of Pharmacy, Birjand University of Medical Sciences, Birjand, Iran; Experimental and Animal Study Center, Birjand University of Medical Sciences, Birjand, Iran.', 'Natural Products and Medicinal Plants Research Center, North Khorasan University of Medical Sciences, Bojnurd, Iran; Department of Physiology and Pharmacology, Faculty of Medicine, North Khorasan University of Medical Sciences, Bojnurd, Iran.', 'Department of Ophthalmology, Khatam-Ol-Anbia Hospital, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Department of Pharmaceutics, School of Pharmaceutical Education and Research, Jamia Hamdard, New Delhi, India.', 'Biotechnology Research Center, Pharmaceutical Technology Institute, Mashhad University of Medical Sciences, Mashhad, Iran; Applied Biomedical Research Center, Mashhad University of Medical Sciences, Mashhad, Iran. Electronic address: amir_saheb2000@yahoo.com.']",
