PubmedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
30743289,Evaluation and Management of the Emergency Department Headache.,,"['Levi Filler', 'Murtaza Akhter', 'Perrin Nimlos']","['Department of Emergency Medicine, Maricopa Medical Center, Phoenix, Arizona.', 'Department of Emergency Medicine, Maricopa Medical Center, Phoenix, Arizona.', 'Department of Emergency Medicine, Maricopa Medical Center, Phoenix, Arizona.']",
39455276,Headache Treatment Options.,,"['Suzanne Florczyk', 'Taiwona Elliott', 'Kelley Lawrence', 'Lauren Penwell-Waines', 'Cecile Robes']","['From the Novant Health Family Medicine Residency Program, Cornelius, NC. smflorczyk@novanthealth.org).', 'From the Novant Health Family Medicine Residency Program, Cornelius, NC.', 'From the Novant Health Family Medicine Residency Program, Cornelius, NC.', 'From the Novant Health Family Medicine Residency Program, Cornelius, NC.', 'From the Novant Health Family Medicine Residency Program, Cornelius, NC.']",
32696077,[Headache in multiple sclerosis].,,"['Marcel Gebhardt', 'Peter Kropp', 'Frank Hoffmann', 'Uwe K Zettl']","['Klinik für Neurologie, Krankenhaus Martha-Maria Halle-Dölau, Röntgenstraße\xa01, 06120, Halle, Deutschland. Marcel.Gebhardt@Martha-Maria.de.', 'Institut für Medizinische Psychologie und Medizinische Soziologie, Universitätsmedizin Rostock, Gehlsheimer Straße\xa020, 18147, Rostock, Deutschland.', 'Klinik für Neurologie, Krankenhaus Martha-Maria Halle-Dölau, Röntgenstraße\xa01, 06120, Halle, Deutschland.', 'Klinik und Poliklinik für Neurologie, Sektion für Neuroimmunologie, Universitätsmedizin Rostock, Gehlsheimer Straße\xa020, 18147, Rostock, Deutschland.']",
33725180,[Post-dural puncture headache].,,"['Katharina Kamm', 'Stefanie Förderreuther']","['Neurologische Klinik und Poliklinik, Klinikum der LMU München, Standort Großhadern, Marchioninistr.\xa015, 81377, München, Deutschland.', 'Neurologische Klinik und Poliklinik, Neurologischer Konsiliardienst am Standort Innenstadt, Klinikum der Ludwig-Maximilians-Universität München, Ziemssenstr.\xa01, 80336, München, Deutschland. steffi.foerderreuther@med.uni-muenchen.de.']",
29476266,Headache Diagnosis in Children and Adolescents.,2018-Feb-23,"['Jasmin M Dao', 'William Qubty']","['Department of Neurology, UCSF Child Neurology, 550 16th Street, 4th Floor, San Francisco, CA, 94158, USA. jasmin.dao@ucsf.edu.', 'Department of Neurology, UCSF Child Neurology, 550 16th Street, 4th Floor, San Francisco, CA, 94158, USA.']",
30644652,Rhinogenic headache in pediatric and adolescent patients: an evidence-based review.,,"['Brendan C Smith', 'Lea C George', 'Peter F Svider', 'Ivanna Nebor', 'Adam J Folbe', 'Anthony Sheyn', 'Andrew P Johnson', 'Jean Anderson Eloy']","['Department of Otolaryngology-Head and Neck Surgery, Rutgers New Jersey Medical School, Newark, NJ.', 'Department of Otolaryngology-Head and Neck Surgery, Rutgers New Jersey Medical School, Newark, NJ.', 'Department of Otolaryngology-Head and Neck Surgery, Rutgers New Jersey Medical School, Newark, NJ.', 'Department of Otolaryngology-Head and Neck Surgery, Rutgers New Jersey Medical School, Newark, NJ.', 'Department of Otolaryngology, William Beaumont Hospital, Royal Oak, MI.', 'Department of Otolaryngology, University of Tennessee Health Science Center, Memphis, TN.', 'Department of Otolaryngology, University of Colorado School of Medicine, Aurora, CO.', 'Department of Otolaryngology-Head and Neck Surgery, Rutgers New Jersey Medical School, Newark, NJ.']",
34175774,Rhinogenic and sinus headache - Literature review.,,"['J V Bernichi', 'V L Rizzo', 'J F Villa', 'R F Santos', 'F A Caparroz']","['FACERES, São José do Rio Preto, Sao Paulo, Brazil.', 'FACERES, São José do Rio Preto, Sao Paulo, Brazil.', 'Department of Rhinology and Skull Base Surgery, Federal University of Sao Paulo, Brazil. Electronic address: f_caparroz@hotmail.com.', 'Department of Rhinology and Skull Base Surgery, Federal University of Sao Paulo, Brazil.', 'Department of Sleep Medicine, Federal University of Sao Paulo, Brazil.']",
34749743,Headache and immunological/autoimmune disorders: a comprehensive review of available epidemiological evidence with insights on potential underlying mechanisms.,2021-Nov-08,"['Leonardo Biscetti', 'Gioacchino De Vanna', 'Elena Cresta', 'Ilenia Corbelli', 'Lorenzo Gaetani', 'Letizia Cupini', 'Paolo Calabresi', 'Paola Sarchielli']","[""Istituto Nazionale di Riposo e Cura dell'Anziano a carattere scientifico, IRCSS- INRCA, Ancona, Italy."", 'Section of Neurology, Department of Medicine and Surgery, University of Perugia, Perugia, Italy.', 'Section of Neurology, Department of Medicine and Surgery, University of Perugia, Perugia, Italy.', 'Section of Neurology, Department of Medicine and Surgery, University of Perugia, Perugia, Italy.', 'Section of Neurology, Department of Medicine and Surgery, University of Perugia, Perugia, Italy.', 'Headache Center, UOC Neurologia-Stroke Unit, Emergency Department, Ospedale S. Eugenio, Rome, Italy.', 'Department of Neuroscience, Università Cattolica Sacro Cuore, Rome, Italy.', 'Section of Neurology, Department of Medicine and Surgery, University of Perugia, Perugia, Italy. paola.sarchielli@unipg.it.']",
34046723,[Post-dural puncture headache].,,"['Katharina Kamm', 'Stefanie Förderreuther']","['Neurologische Klinik und Poliklinik, Klinikum der LMU München, Standort Großhadern, Marchioninistr.\xa015, 81377, München, Deutschland.', 'Neurologische Klinik und Poliklinik, Neurologischer Konsiliardienst am Standort Innenstadt, Klinikum der Ludwig-Maximilians-Universität München, Ziemssenstr.\xa01, 80336, München, Deutschland. steffi.foerderreuther@med.uni-muenchen.de.']",
37874457,The Spectrum of Headache in Leptomeningeal Metastases: A Comprehensive Review with Clinical Management Guidelines.,,"['Jessica A Wilcox', 'Rachel Estrera', 'Adrienne Boire']","['Department of Neurology, Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'Human Oncology and Pathogenesis Program, Brain Tumor Center, Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'Department of Neurology, Memorial Sloan Kettering Cancer Center, New York, NY, USA. boirea@mskcc.org.']",
25648352,Huygens' headache.,,['Peter J Koehler'],"['Department of Neurology Atrium Medical Centre,The Netherlands pkoehler@neurohistory.nl.']",
34551691,Headache in Multiple Sclerosis - Pharmacological Aspects.,,"['Marcel Gebhardt', 'Peter Kropp', 'Frank Hoffmann', 'Uwe K Zettl']","['Krankenhaus Martha-Maria Halle-Dölau, Klinik für Neurologie, Röntgenstraße 1, 06120 Halle, Germany.', 'Institute of Medical Psychology and Medical Sociology, Medical Faculty, University of Rostock, Gehlsheimer Straße 20, 18147, Rostock, Germany.', 'Krankenhaus Martha-Maria Halle-Dölau, Klinik für Neurologie, Röntgenstraße 1, 06120 Halle, Germany.', 'Department of Neurology, Neuroimmunological Section, University of Rostock, Rostock, Germany.']",
17894931,Post-traumatic headache.,,['Steven L Linder'],"['Dallas Pediatric Neurology Associates, 7777 Forest Lane, Suite A-307, Dallas, TX 75230, USA. dpnasusanne@aol.com']",
33527189,Underuse of Behavioral Treatments for Headache: a Narrative Review Examining Societal and Cultural Factors.,,"['Donna Langenbahn', 'Yuka Matsuzawa', 'Yuen Shan Christine Lee', 'Felicia Fraser', 'Donald B Penzien', 'Naomi M Simon', 'Richard B Lipton', 'Mia T Minen']","['Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, USA.', 'Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, USA.', 'Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, USA.', 'Department of Physical Medicine & Rehabilitation, MetroHealth System, Cleveland, OH, USA.', 'Departments of Psychiatry and Behavioral Medicine, Neurology, Wake Forest University College of Medicine, Winston-Salem, NC, USA.', 'Department of Psychiatry, NYU Langone Health, New York, NY, USA.', 'Department of Neurology, Albert Einstein College of Medicine, New York, NY, USA.', 'Department of Neurology, NYU Langone Health, New York, NY, USA. MinenMD@gmail.com.']",
22540208,Advanced interventions for headache.,,['Stewart J Tepper'],"['Headache Center, Cleveland Clinic, Cleveland, OH 44195, USA. sjtepper@gmail.com']",
34112083,Editorial. Valuing headache's solution.,2021-Jun-10,"['T J Steiner', 'M Tinelli']","['Department of Neuromedicine and Movement Science, Norwegian University of Science and Technology, Edvard Griegs gate, Trondheim, Norway. t.steiner@imperial.ac.uk.', 'Care Policy and Evaluation Centre, The London School of Economics and Political Science, London, UK.']",
25903913,Post-craniotomy headache: a clinical view with a focus on the persistent form.,,['Pedro Augusto Sampaio Rocha-Filho'],"['Department of Neuropsychiatry, Universidade Federal de Pernambuco, Recife, PE, Brazil.']",
9453267,Headache and the cervical spine: a critical review.,,"['W Pöllmann', 'M Keidel', 'V Pfaffenrath']","['Marianne Strauss-Klinik, Berg, Germany.']",
15519842,[Headache in childhood: which diagnostic imaging strategies?].,,"['C Christophe', 'N Damry', 'G Guissard', 'B Dan', 'T Sekhara']","['Hôpital universitaire des Enfants-Reine-Fabiola, Bruxelles, Belgique. catherine.christophe@huderf.be']",
36170136,[New developments in headache management in 2022].,2022-Sep-28,"['Ludovico Della Vedova', 'Pouya Hashemi', 'Anne Meynard-Colomb', 'Andreas Kleinschmidt', 'Sara Arsever']","['Service de médecine de premier recours, Département de médecine de premier recours, Hôpitaux universitaires de Genève, 12011 Genève 14.', 'Service de médecine de premier recours, Département de médecine de premier recours, Hôpitaux universitaires de Genève, 12011 Genève 14.', 'Service de neurologie, Département des neurosciences cliniques, Hôpitaux universitaires de Genève, 12011 Genève 14.', ""Institut universitaire de médecine de famille et de l'enfance, Faculté de médecine, Université de Genève, 1211 Genève 4."", 'Service de médecine de premier recours, Département de médecine de premier recours, Hôpitaux universitaires de Genève, 12011 Genève 14.']",
8121977,Tension-type headache: psychosomatic clinical assessment and treatment.,,"['M Biondi', 'G Portuesi']","['Terza Clinica Psichiatrica, Università La Sapienza, Roma, Italy.']",
15176492,New thoughts on sinus headache.,,['Stewart J Tepper'],"['New England Center for Headache, 778 Long Ridge Rd., Stamford, CT 06902, USA.']",
