PubmedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
25426838,Clonal hematopoiesis and blood-cancer risk inferred from blood DNA sequence.,2014-Dec-25,"['Giulio Genovese', 'Anna K Kähler', 'Robert E Handsaker', 'Johan Lindberg', 'Samuel A Rose', 'Samuel F Bakhoum', 'Kimberly Chambert', 'Eran Mick', 'Benjamin M Neale', 'Menachem Fromer', 'Shaun M Purcell', 'Oscar Svantesson', 'Mikael Landén', 'Martin Höglund', 'Sören Lehmann', 'Stacey B Gabriel', 'Jennifer L Moran', 'Eric S Lander', 'Patrick F Sullivan', 'Pamela Sklar', 'Henrik Grönberg', 'Christina M Hultman', 'Steven A McCarroll']","[""The authors' affiliations are listed in the Appendix.""]",
34042962,Blood cancer caregiving during COVID-19: understanding caregivers' needs.,2021-May-25,"['Carla L Fisher', 'Kevin B Wright', 'Chelsea N Hampton', 'Taylor S Vasquez', 'Amanda Kastrinos', 'Allison J Applebaum', 'Maria Sae-Hau', 'Elisa S Weiss', 'Greg Lincoln', 'Carma L Bylund']","['College of Journalism and Communications, University of Florida, Gainesville, FL, USA.', 'Department of Communication, George Mason University, Fairfax, VA, USA.', 'College of Journalism and Communications, University of Florida, Gainesville, FL, USA.', 'College of Journalism and Communications, University of Florida, Gainesville, FL, USA.', 'College of Journalism and Communications, University of Florida, Gainesville, FL, USA.', 'Department of Psychiatry and Behavioral Sciences, Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.', 'P. K. Younge Developmental Research School, University of Florida, Gainesville, FL, USA.', 'College of Journalism and Communications, University of Florida, Gainesville, FL, USA.']",
34661134,The Landscape of Blood Cancer Research Today-and Where the Field Is Headed.,,['Nicole Haloupek'],"['American Association for Cancer Research, Philadelphia, Pennsylvania. nicole.haloupek@aacr.org.']",
39266186,Advances in CRISPR-Cas systems for blood cancer.,,"['Bernice Monchusi', 'Phumuzile Dube', 'Mutsa Monica Takundwa', 'Vanelle Larissa Kenmogne', 'Deepak Balaji Thimiri Govinda Raj']","['Synthetic Nanobiotechnology and Biomachines, Synthetic Biology and Precision Medicine Centre, Future production Chemicals Cluster, Council for Scientific and Industrial Research, Pretoria, South Africa.', 'Synthetic Nanobiotechnology and Biomachines, Synthetic Biology and Precision Medicine Centre, Future production Chemicals Cluster, Council for Scientific and Industrial Research, Pretoria, South Africa.', 'Synthetic Nanobiotechnology and Biomachines, Synthetic Biology and Precision Medicine Centre, Future production Chemicals Cluster, Council for Scientific and Industrial Research, Pretoria, South Africa.', 'Synthetic Nanobiotechnology and Biomachines, Synthetic Biology and Precision Medicine Centre, Future production Chemicals Cluster, Council for Scientific and Industrial Research, Pretoria, South Africa; Department of Surgery, University of the Witwatersrand, Johannesburg, South Africa.', 'Synthetic Nanobiotechnology and Biomachines, Synthetic Biology and Precision Medicine Centre, Future production Chemicals Cluster, Council for Scientific and Industrial Research, Pretoria, South Africa. Electronic address: dgovindaraj@csir.co.za.']",
37700199,Patient-derived iPSCs to study blood cancer.,,['Emmanuel Olivier'],"['Department of Oncological Sciences, Icahn School of Medicine at Mount Sinai, New York, NY, USA. emmanuel.olivier@mssm.edu.']",
31774551,Emergencies in haematology: tumour lysis syndrome.,,"['Urshila Durani', 'William J Hogan']","['Department of Medicine, Division of Hematology, Mayo Clinic, Rochester, MN, USA.', 'Department of Medicine, Division of Hematology, Mayo Clinic, Rochester, MN, USA.']",
39217827,"Blood cancer incidence, mortality and survival for Māori in New Zealand.",,"['Sydney Clough', 'Matthew Wheeler', 'James Stanley', 'Virginia Signal', 'Myra Ruka', 'Jonathan Koea', 'Jason Gurney']","['Te Whatu Ora - Hauora a Toi, Tauranga, New Zealand. Electronic address: sydneymclough@gmail.com.', 'Te Whatu Ora - Hauora a Toi, Tauranga, New Zealand. Electronic address: matt.wheeler@bopdhb.govt.nz.', 'University of Otago, Wellington, New Zealand. Electronic address: james.stanley@otago.ac.nz.', 'University of Otago, Wellington, New Zealand. Electronic address: virginia.signal@otago.ac.nz.', 'Te Whatu Ora - Waikato, Hamilton, New Zealand. Electronic address: myra.ruka@waikatodhb.health.nz.', 'Te Whatu Ora - Waitematā, Auckland, New Zealand. Electronic address: jonathan.koea@waitematadhb.govt.nz.', 'University of Otago, Wellington, New Zealand. Electronic address: jason.gurney@otago.ac.nz.']",
39805996,Blood cancer prediction model based on deep learning technique.,2025-Jan-13,"['Amr I Shehta', 'Mona Nasr', 'Alaa El Din M El Ghazali']","['Department of Information System, Faculty of Computers and Artificial Intelligence, Helwan University, Cairo, Egypt. amr.ibrahim@fci.helwan.edu.eg.', 'Department of Information System, Faculty of Computers and Artificial Intelligence, Helwan University, Cairo, Egypt.', 'Department of Computer and Information Systems, Sadat Academy for Management Sciences, Cairo, Egypt.']",
31741249,"Blood cancer survivorship in NCI-Designated Cancer Centers: a study of services, gaps, and access barriers.",,"['Crystal A Reinhart', 'Maria Sae-Hau', 'Carol A Lee', 'Elisa S Weiss']","['Center for Prevention Research and Development, University of Illinois, 510 Devonshire Drive, Champaign, IL, 61820, USA. reinhrt@illinois.edu.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.', 'School of Social Work, University of Illinois, Champaign, IL, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.']",
32112045,Bone marrow niches in haematological malignancies.,,"['Simón Méndez-Ferrer', 'Dominique Bonnet', 'David P Steensma', 'Robert P Hasserjian', 'Irene M Ghobrial', 'John G Gribben', 'Michael Andreeff', 'Daniela S Krause']","['Wellcome Trust - Medical Research Council Cambridge Stem Cell Institute, Cambridge, UK. sm2116@cam.ac.uk.', 'Haematopoietic Stem Cell Laboratory, The Francis Crick Institute, London, UK.', 'Harvard Medical School, Boston, MA, USA.', 'Harvard Medical School, Boston, MA, USA.', 'Harvard Medical School, Boston, MA, USA.', 'Centre for Haemato-Oncology, Barts Cancer Institute, Queen Mary University of London, London, UK.', 'Section of Molecular Hematology and Therapy, Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.', 'Georg-Speyer-Haus, Institute for Tumor Biology and Experimental Medicine, Frankfurt, Germany.']",
